Mann,Man
Kann,Can
Dann,Then
Denn,Because
Kennt,Knows
Kennen,To know
Bin,Am
Ist,Is
Kiste,Box
Ich,I
Mich,Me
Nicht,Not
Feucht,Moist
Euch,You (plural)
Nennen,To name
Nannte,Named
Eule,Owl
Leute,People
Nichte,Niece
Leicht,Easy / Light
Heute,Today
Meine,My
Leiten,To lead
Leuchten,To shine
Heule,Cry
Nass,Wet
Heiße,Am called
Guten Tag,Good day
Kleider,Clothes
Aber,But
Beißen,To bite
Leider,Unfortunately
Lieder,Songs
Diene,Serve
Leiden,To suffer
Klein,Small
Bleiben,To stay
Hund,Dog
Sind,Are
Nein,No
Name,Name
Groß,Big / Large
Danke,Thank you
Gut,Good
Auch,Also
Wo,Where
Hier,Here
Sicher,Sure / Safe
Links,Left
Wasser,Water
Bier,Beer
Wein,Wine
Tee,Tea
Glas,Glass
Besser,Better
Möglich,Possible
Spät,Late
Essen,To eat
Traurig,Sad
Fertig,Finished
Sehr,Very
Billig,Cheap
Reich,Rich
Nötig,Necessary
Sauber,Clean
Sagen,To say
Mädchen,Girl
Kind,Child
Schläft,Sleeps
Karte,Card / Map
Löffel,Spoon
Suppe,Soup
Fragen,To ask
Antworten,To answer
Trägt,Wears / Carries
Essig,Vinegar
Öl,Oil
Montag,Monday
Verstehen,To understand
Verkaufen,To sell
Weit,Far
Viel,Much / A lot
Geld,Money
Wieviel,How much
Juni,June
Jahr,Year
Fahren,To drive
Weil,Because
Zeit,Time
Auto,Car
Arbeiten,To work
Frau,Woman / Mrs.
Abend,Evening
Kaufen,To buy
Wann,When
Helfen,To help
Gerne,Gladly
Zwei,Two
Milch,Milk
